ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
4,COUNTY,WA,Washington,Pierce County,"346,708","122,063",35%,$16.66,$21.72,"$1,003","$1,479","$1,673","$2,057","$2,882","$3,292","$120,800","$36,240","$60,400","$68,690",$906,"$1,510","$1,717",$866,"$1,129",$301,"$59,160","$66,920","$82,280","$115,280","$131,680",$28.44,$32.17,$39.56,$55.42,$63.31,68,77,95,133,152,1.7,1.9,2.4,3.3,3.8,52,59,73,102,117
4,COUNTY,WA,Washington,San Juan County,"8,934","1,983",22%,$16.66,$15.89,"$1,003","$1,161","$1,290","$1,693","$2,218","$2,253","$113,200","$33,960","$56,600","$55,918",$849,"$1,415","$1,398",$866,$826,$301,"$46,440","$51,600","$67,720","$88,720","$90,120",$22.33,$24.81,$32.56,$42.65,$43.33,54,60,78,102,104,1.3,1.5,2.0,2.6,2.6,56,62,82,107,109
4,COUNTY,WA,Washington,Skagit County,"51,518","15,124",29%,$16.66,$17.89,"$1,003","$1,166","$1,300","$1,701","$2,384","$2,592","$111,600","$33,480","$55,800","$55,043",$837,"$1,395","$1,376",$866,$930,$301,"$46,640","$52,000","$68,040","$95,360","$103,680",$22.42,$25.00,$32.71,$45.85,$49.85,54,60,79,110,120,1.3,1.5,2.0,2.8,3.0,50,56,73,103,111
4,COUNTY,WA,Washington,Skamania County,"4,965",964,19%,$16.66,$12.24,"$1,003","$1,628","$1,750","$1,997","$2,739","$3,217","$124,100","$37,230","$62,050","$49,403",$931,"$1,551","$1,235",$866,$637,$301,"$65,120","$70,000","$79,880","$109,560","$128,680",$31.31,$33.65,$38.40,$52.67,$61.87,75,81,92,126,149,1.9,2.0,2.3,3.2,3.7,102,110,125,172,202
4,COUNTY,WA,Washington,Snohomish County,"311,825","98,566",32%,$16.66,$25.16,"$1,003","$2,238","$2,293","$2,671","$3,521","$4,104","$157,100","$47,130","$78,550","$72,054","$1,178","$1,964","$1,801",$866,"$1,308",$301,"$89,520","$91,720","$106,840","$140,840","$164,160",$43.04,$44.10,$51.37,$67.71,$78.92,103,106,123,163,189,2.6,2.6,3.1,4.1,4.7,68,70,82,108,125
4,COUNTY,WA,Washington,Spokane County,"215,879","77,953",36%,$16.66,$19.60,"$1,003",$998,"$1,123","$1,444","$1,997","$2,339","$100,800","$30,240","$50,400","$49,610",$756,"$1,260","$1,240",$866,"$1,019",$301,"$39,920","$44,920","$57,760","$79,880","$93,560",$19.19,$21.60,$27.77,$38.40,$44.98,46,52,67,92,108,1.2,1.3,1.7,2.3,2.7,39,44,57,78,92
4,COUNTY,WA,Washington,Stevens County,"18,983","3,948",21%,$16.66,$14.62,"$1,003",$821,$827,"$1,049","$1,470","$1,762","$88,400","$26,520","$44,200","$42,629",$663,"$1,105","$1,066",$866,$760,$301,"$32,840","$33,080","$41,960","$58,800","$70,480",$15.79,$15.90,$20.17,$28.27,$33.88,38,38,48,68,81,0.9,1.0,1.2,1.7,2.0,43,43,55,77,93
4,COUNTY,WA,Washington,Thurston County,"117,172","37,780",32%,$16.66,$19.74,"$1,003","$1,393","$1,585","$1,843","$2,526","$3,095","$116,700","$35,010","$58,350","$62,139",$875,"$1,459","$1,553",$866,"$1,026",$301,"$55,720","$63,400","$73,720","$101,040","$123,800",$26.79,$30.48,$35.44,$48.58,$59.52,64,73,85,117,143,1.6,1.8,2.1,2.9,3.6,54,62,72,98,121
4,COUNTY,WA,Washington,Wahkiakum County †,"2,026",308,15%,$16.66,,"$1,003",$747,$965,"$1,068","$1,497","$1,777","$71,300","$21,390","$35,650","$28,258",$535,$891,$706,$866,,$301,"$29,880","$38,600","$42,720","$59,880","$71,080",$14.37,$18.56,$20.54,$28.79,$34.17,34,45,49,69,82,0.9,1.1,1.2,1.7,2.1,,,,,
4,COUNTY,WA,Washington,Walla Walla County,"23,390","7,966",34%,$16.66,$14.88,"$1,003","$1,020","$1,133","$1,487","$2,049","$2,497","$97,900","$29,370","$48,950","$44,324",$734,"$1,224","$1,108",$866,$774,$301,"$40,800","$45,320","$59,480","$81,960","$99,880",$19.62,$21.79,$28.60,$39.40,$48.02,47,52,69,95,115,1.2,1.3,1.7,2.4,2.9,53,59,77,106,129
4,COUNTY,WA,Washington,Whatcom County,"92,411","33,703",36%,$16.66,$18.76,"$1,003","$1,348","$1,381","$1,642","$2,301","$2,757","$108,400","$32,520","$54,200","$53,220",$813,"$1,355","$1,331",$866,$976,$301,"$53,920","$55,240","$65,680","$92,040","$110,280",$25.92,$26.56,$31.58,$44.25,$53.02,62,64,76,106,127,1.6,1.6,1.9,2.7,3.2,55,57,67,94,113
4,COUNTY,WA,Washington,Whitman County,"17,952","9,587",53%,$16.66,$14.65,"$1,003",$800,$890,"$1,167","$1,635","$1,960","$98,300","$29,490","$49,150","$29,472",$737,"$1,229",$737,$866,$762,$301,"$32,000","$35,600","$46,680","$65,400","$78,400",$15.38,$17.12,$22.44,$31.44,$37.69,37,41,54,75,90,0.9,1.0,1.3,1.9,2.3,42,47,61,86,103
4,COUNTY,WA,Washington,Yakima County,"86,689","32,577",38%,$16.66,$16.37,"$1,003","$1,011","$1,018","$1,335","$1,871","$1,971","$82,300","$24,690","$41,150","$49,145",$617,"$1,029","$1,229",$866,$851,$301,"$40,440","$40,720","$53,400","$74,840","$78,840",$19.44,$19.58,$25.67,$35.98,$37.90,47,47,62,86,91,1.2,1.2,1.5,2.2,2.3,48,48,63,88,93
